Date,Have?,Entered?,ESTC#,Subject,Title,Imprint,Author1,Author2,Author3,Author4,Editor,Translator,Printer1,PrinterLoc 1,Printer2,PrinterLoc 2,Engraver1,Engraver1 Loc,Engraver2,Engraver3,Engraver4,Illustrator1,Illustrator2,Illustrator3,Bookseller 1,SaleShop 1,ShopLoc 1,Bookseller 2,SaleShop2,ShopLoc 2,Bookseller 3,SaleShop 3,ShopLoc 3,Bookseller 4,SaleShop 4,ShopLoc 4,Bookseller 5,SaleShop 5,ShopLoc 5,Bookseller 6,SaleShop 6,ShopLoc 6,Bookseller 7,SaleShop 7,ShopLoc 7,Bookseller 8,SaleShop 8,ShopLoc 8,Bookseller 9,SaleShop 9,ShopLoc 9,Bookseller 10,SaleShop 10,ShopLoc 10,Bookseller 11,Sale Shop 11,ShopLoc 11,Bookseller 12,Sale Shop 12,ShopLoc 12,Bookseller 13,Sale Shop 13,ShopLoc 13,Bookseller 14,Sale Shop 14,ShopLoc 14,Bookseller 15,Sale Shop 15,ShopLoc 15,Bookseller 16,Sale Shop 16,ShopLoc 16,Bookseller 17,Sale Shop 17,ShopLoc 17,Bookseller 18,Sale Shop 18,ShopLoc 18,Bookseller 19,Sale Shop 19,ShopLoc 19,RefSource,Library,Format,# Subs,# Copies,# Women
1743,x,,T132032,Natural Theology,the antediluvian world or a new theory of the earth,Dublin,Francis Walsh,,,,,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,T Brown,The Bible,High Street: Dublin,J Kelly,The Stationer's Arms,Mary's Lane: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The British Library,8vo,58,97,
1743,x,,T110896,Atlas/History/Geography,an introduction to or a short discourse concerning universal history,Belfast,Jacques BŽnigne Bossuet,,,,Richard Spencer,,,,,,,,,,,,,,Samuel Wilson,,Belfast,James Magee,,Bridge Street: Belfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R4,The British Library,8vo,,,
1743,x,,T143840,Travel/Natural History,natural history of north carolina 2,Dublin,John Brickell,,,,,,,Dublin,,,,,,,,,,,Charles Corbett,Addison's Head,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,211,234,4
1744,x,,T84004,Mathematics,the schoolmasters assistant being a compendium of arithmetic,London,Thomas Dilworth,,,,,,Henry Kent,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,The British Museum,8vo,52,,
1744,x,,T135355,Physics/Cosmology,a course of experimental philosophy 2,London,John Theophilus Desaguliers,,,,,,William Innys,St Paul's Churchyard: London,John Innys,St Paul's Churchyard: London,,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,Mary Senex,St Dunston's Church,Fleet Street: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Ghent University,4to,314,344,
1744,x,,T120530,Anatomy/Medicine,guide to health through the various stages of life,London,Bernard Lynch,,,,,,,,,,,,,,,,,,Mary Cooper,The Globe,Pater Noster Row: London,Thomas Hawkins,,London,F Needham,Against Gray's Inn,Holborn: London,J Jackson,The Golden Lion,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,289,321,24
1744,x,,T4460,Science History,the works of the honourable robert boyle in five volumes to which is prefixed the life of the author,London,Robert Boyle,,,,Thomas Birch,,,,,,,,,,,,,,Andrew Millar,Shakespeare's Head,The Strand: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,University of California,2mo,206,207,
1744,R,,4,Map,actual survey of the city of bath,Bath,Thomas Thorpe,,,,,,James Cole,Hatton Garden: London,,,James Cole,Hatton Garden: London,,,,,,,James Leake I,,Bath,J Frederick,,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,1mo,,,
1745,x,,T138709,Agriculture/Arts/Manufactures,an universal history of arts and sciences,London,Dennis De Coetlogon,,,,,,John Hart,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,University of Michigan,2mo,316,320,
1745,x,,T146714,Travel/Natural History,a true and impartial journey of a voyage to the south seas,London,Thomas Pascoe,,,,,,Samuel Birt,Ludgate Street: London,,,,,,,,,,,John Newberry,,London,Joseph Collyer,Shakespeare's Head,Royal Exchange: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,8vo,335,398,
1745,x,,T165777,Mathematics,the doctrine of vulgar and decimal fractions,Dublin,Charles Phipps,,,,,,,,,,,,,,,,,,George Ewing,The Angel & Bible,Dame Street: Dublin,Alexander Ewing,The Angel & Bible,Dame Street: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,370,417,
1745,x,,T75678,Anatomy/Medicine,the nature of an intermitting fever and ague,London,Simon Mason,,,,,,,,,,,,,,,,,,James Hodges,The Looking Glass,London Bridge: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,William and Mary,8vo,119,,
1746,x,,T39853,Travel/Natural History,new general collection of voyages and travels,London,John Green,,,,,,,,,,,,,,,,,,Thomas Astley,The Dolphin & Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,57,66,2
1746,x,,T163716,Mathematics,the arithmeticians guide,London,Thomas Crosby,,,,,,,,,,,,,,,,,,John Clark,,St Paul's Churchyard: London,John Wilcox,,Little Britain: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,125,143,
1746,x,,5,Mathematics,the doctrine of projectiles 2,Dublin,William Starrat,,,,,,,,,,,,,,,,,,Philip Crampton,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,University of Newcastle upon Tyne,8vo,704,824,1
1747,x,,T150186,Travel/Natural History,travels in turkey and back to england,London,Edmund Chishull,,,,,,William Bowyer II,Whitefriars: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Lyon Public Library,2mo,387,424,
1747,x,,T72971,Engineering,the miners dictionary explaining not only the terms used by miners but also containing the theory and practice of that most useful art of mineing more especially of lead-mines,Wrexham,William Hooson,,,,,,,,,,,,,,,,,,Thomas Payne 2,,Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,Jefferson Library,8vo,48,70,
1748,x,,T89477,Travel/Natural History,a voyage round the world 1,London,George Anson,,,,Richard Walter,,Paul Knapton,Ludgate Street: London,John Knapton,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Carnegie Mellon: Hunt,4to,1797,1827,
1748,x,,T150276,Physics/Hydrostatics,a system of natural philosophy being a course of lectures,Cambridge,Thomas Rutherford,,,,,,Joseph Bentham,Cambridge,,,,,,,,,,,William Thurlbourn,,Cambridge,John Beecroft,The Bible & Crown,Lombard Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Bavarian State Library,4to,1053,1128,
1748,x,,N4897,Map,a new and accurate survey of london and westminster,London,John Rocque,,,,,,William Edwards,London Bridge: London,,,,,,,,,,,John Rocque,Opposite Green Park,Picadilly: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The Morgan Library and Museum,1mo,,,
1748,x,,T81914,Physics/Cosmology,an account of newton's philosophical discoveries,London,Colin Maclaurin,,,,Patrick Murdoch,,,,,,,,,,,,,,Andrew Millar,Shakespeare's Head,The Strand: London,John Nourse,The Lamb,The Strand: London,Gavin Hamilton,Opposite Parliament Close,Edinburgh,John Balfour,Opposite Parliament Close,Edinburgh,Alexander Kincaid,Auction House below Balfour's Coffee House,Edinburgh,John Barry,The Cross,Glasgow,John Smith,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,The British Library,4to,1227,1436,
1748,x,,T145975,Travel/Natural History,voyage to hudson's bay for discovering a north west passage,London,Henry Ellis,,,,,,,,,,,,,,,,,,Henry Whitridge,Castle Alley,Royal Exchange: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,66,72,2
1748,x,,T113833,Atlas/History/Geography,geography made easy,London,James Garnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Cornell University,8vo,309,333,
1748,Not at Bodleian,,6,Map,new and accurate map of the county of cornwall 1,London,Thomas Martyn,,,,,,Robert Sayer,Fleet Street: London,,,,,,,,,,,Robert Sayer,The Golden Buck,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Library of Congress,1mo,164,,
1749,x,,7,Map,a new and exact map of the island of antigua in america,London,Robert Baker,,,,,,John Bew,Pater Noster Row: London,,,,,,,,,,,Carington Bowles,The Black Horse,St Paul's Churchyard: London,Robert Wilkinson,No 58,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Michigan: Clements Library,1mo,369,,
1749,x,,N6445,Natural Theology,discourses on all the principal branches of natural religion and social virtue,London,James Foster,,,,,,,,,,,,,,,,,,John Noon,The White Hart,Cheapside: London,Paul Knapton,The Crown,Ludgate Street: London,Andrew Millar,Shakespeare's Head,The Strand: London,Henry Whitridge,Castle Alley,Royal Exchange: London,Robert Dodsley,Tully's Head,Pall Mall: London,John Payne 1,The White Hart,Pater Noster Row: London,Alexander Kincaid,Auction House below Balfour's Coffee House,Edinburgh,Gavin Hamilton,Opposite Parliament Close,Edinburgh,John Balfour,Opposite Parliament Close,Edinburgh,John Barry,The Cross,Glasgow,Andrew Foulis,,Glasgow,John Smith,,Dublin,Robert Foulis,,Glasgow,John Knapton,The Crown,St Paul's Churchyard: London,Joseph Bouquet,The White Hart,Pater Noster Row: London,,,,,,,,,,,,,R7,University of California,4to,,,
1749,x,,T190371,Astronomy,uranographia britannica,London,John Bevis,,,,,,,,,,,,,,,,,,John Neale II,The King's Arms & Dial,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,University of Glasgow,2mo,182,225,15
1750,x,,T58749,Atlas/History/Geography,orcades or a geographic survey of orkney and lewis islands,London,Murdoch McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,12mo,310,404,0
1750,x,,T140744,Physics/Cosmology,a philosophical inquiry into the laws of nature,Dublin,Richard Cumberland,,,,John Towers,,Samuel Powell,Essex Street: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,4to,314,370,
1750,x,,T133337,Mathematics,young algebraist's companion 1,London,Daniel Fenning,,,,,,Thomas Parker,Jewin Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Jefferson Library,12mo,466,509,
1750,x,,T147028,Travel/Natural History,the natural history of barbados in ten books,London,Griffith Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Missouri Botanical Garden,4to,907,978,
1750,x,,T153554,Mathematics,method to multiply or divide any number of figures,London,Mackenzie Quin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,161,161,11
1750,x,,T78780,Physics/Cosmology,an original theory or new hypothesis of the universe,London,Thomas Wright,,,,,,,,,,,,,,,,,,Henry Chapelle,,Grovesnor Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Columbia University,4to,114,119,
1751,x,,T88523,Physics/Cosmology,lectures in natural philosophy,Dublin,Richard Barton,,,,,,A Reilly,Dublin,,,,,,,,,,,George Ewing,The Angel & Bible,Dame Street: Dublin,Alexander Ewing,The Angel & Bible,Dame Street: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Gemological Institute of America,4to,555,576,
1751,x,,T144874,Travel/Natural History,a natural history of uncommon birds 2,London,George Edwards,,,,,,College of Physicians,Warwick Lane: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,49,,
1751,x,,T110072,Mathematics,the tutor's assistant 1,London,Francis Walkingame,,,,,,Daniel Browne II,Temple Bar: London,,,,,,,,,,,William Reeve,Shakespeare's Head,Fleet Street: London,Henry Slater,Clare Ct,Drury Lane: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Falvey Memorial Library,12mo,238,273,
1751,x,,T144827,Mathematics,an introduction to the doctrine of fluxions,London,John Rowe,,,,Cadwallader Colden,,Edward Owen,Holborn: London,,,,,,,,,,,John Noon,The White Hart,Cheapside: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,169,203,
1751,x,,T84843,Atlas/History/Geography,the grammarian's geography and astronomy,London,John Holmes,,,,,,William Strahan,The Strand: London,Andrew Strahan,The Strand: London,,,,,,,,,Charles Hitch,The Red Lion,Pater Noster Row: London,Lacy Hawes,The Red Lion,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,8vo,186,,
1751,x,,T143261,Engineering,the theory and construction of fortification,London,Charles Bisset,,,,,,,,,,,,,,,,,,Andrew Millar,Shakespeare's Head,The Strand: London,David Wilson,Plato's Head,The Strand: London,Robert Dodsley,Tully's Head,Pall Mall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Jefferson Library,4to,,,
1751,x,,T99087,Mathematics,the young arithmetician and algebraist's companion,London,Richard Carr,,,,,,,,,,,,,,,,,,Mary Cooper,The Globe,Pater Noster Row: London,David Wilson,Plato's Head,The Strand: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,175,,
1752,x,,T176489,Atlas/History/Geography,a treatise of practical surveying,Dublin,Robert Gibson,,,,,,Oliver Nelson,Skinner Row: Dublin,,,,,,,,,,,Robert Gibson,Milton's Head,Skinner Row: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Library Company of Philadelphia,8vo,276,359,
1752,x,,T116001,Natural Theology,apoleipomena or dissertations theological mathematical and physical,London,Francis Lee,,,,,,,,,,,,,,,,,,Alexander Strahan,The Golden Ball,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Princeton University,8vo,131,150,
1752,x,,T109977,Mathematics,the tutor's assistant 2,London,Francis Walkingame,,,,,,,,,,,,,,,,,,William Reeve,Shakespeare's Head,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,12mo,238,273,8
1752,x,,N9976,Mathematics,geometry made easy,London,John Cowley,,,,,,,,,,,,,,,,,,Francis Watkins,Sir Isaac Newton's Head,Charing Cross: London,James Ayscough,The Golden Spectacles and Quadrant,Ludgate Street: London,Thomas Heath,The Hercules and Globe,The Strand: London,John Bennet,Crown Court,Soho: London,Robert Roberts,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,8vo,129,143,
1754,x,,T111164,Science History,memoirs of the lives and characters of the illustrious family of the boyles,Dublin,Eustace Budgell,,,,,,J Esdall,Cork Hill: Dublin,,,,,,,,,,,J Torbuck,The Sign of Bristol,Sycamore Alley: Dublin,L Flin,,Winetavern Street: Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The British Library,12mo,154,236,14
1754,x,,T124553,Mathematics,a new treatise of arithmetic,Exeter,Joseph Thorpe,,,,,,Thomas Brice,Southgate: Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Cornell University,8vo,258,265,
1754,x,,T185603,Atlas/History/Geography,new and easy guide to practical arithmetic,London,Daniel Fenning,,,,,,,,,,,,,,,,,,James Hodges,The Looking Glass,London Bridge: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Jefferson Library,12mo,247,379,
1754,x,,T200654,Mathematics,new and easy guide to the use of globes 1,London,Daniel Fenning,,,,,,,,,,,,,,,,,,James Hodges,The Looking Glass,London Bridge: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Library of Congress,12mo,,,
1754,R,,8,Map,new map of the county of hereford,London,Isaac Taylor 1,,,,,,Thomas Kitchin,Holborn: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,2mo,98,,
1755,x,,N475281,Engineering,the universal architecture,London,Thomas Wright,,,,,,,,,,Matthew Darly,St Martin's Inn Fields: London,Paul Sandby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Metropolitan Museum of Art,2mo,,,
1755,x,,N28197,Physics/Cosmology,a course of experimental philosophy 3,Dublin,Robert Gibson,,,,,,,,,,,,,,,,,,Oliver Nelson,Milton's Head,Skinner Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University: Bodleian,8vo,362,391,
1755,x,,T127162,Astronomy,the young astronomer's assistant and countryman'a daily companion,Cirencester,William Hitchman,,,,,,,,,,,,,,,,,,A Wright,The Holy Rood,Ampney Crucis: Gloucestershire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Cornell University,12mo,17,102,
1755,R,,T89156,Travel/Natural History,natural history of norway,London,Erich Pontoppidan,,,,,Andreas Barthelson,Andreas Linde,The Strand: London,,,,,,,,,,,Andreas Linde,The Bible,The Strand: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,202,202,0
1756,x,,T130420,Chemistry/Medicine,a treatise on the three medicinal mineral waters at llandrindod in radnorshire south wales,London,Diederick Wessel Linden,,,,,,John Everingham,Fetter Lane: London,Thomas Reynolds,Fetter Lane: London,,,,,,,,,William Owen,Homer's Head,Temple Bar: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,Oxford University,8vo,217,237,
1756,x,,T89757,Travel/Natural History,civil and natural history of jamaica 1,London,Patrick Browne,,,,,,,,,,,,,,,,,,Thomas Osborne,,St Paul's Churchyard: London,Joseph Shipton,,Gray's Inn: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Missouri Botanical Garden,2mo,148,158,
1757,x,,W29694,Travel/Natural History,voyage to the south seas,Philadelphia,John Buckley,,,,,,James Chatton,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,,,
1757,x,,T76078,Anatomy/Medicine,practical observations in physick,Birmingham,Simon Mason,,,,,,Thomas Warren,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The British Library,8vo,759,773,
1757,x,,T113813,Travel/Natural History,a natural history of fossils,London,Emanuel Mendes da Costa,,,,,,,,,,,,,,,,,,Lockyer Davis,Lord Bacon's Head,Holborn: London,C Reyners,Against Gray's Inn Gate,Holborn: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,National Library of Australia,4to,100,118,
1757,x,,T146727,Travel/Natural History,voyage to the east indies,London,John Grose,,,,,,,,,,,,,,,,,,Samuel Hooper 2,Gay's Head,The Strand: London,A Morley,Gay's Head,The Strand: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,101,102,11
1757,x,,T77598,Chemistry/Medicine,an essay towards a natural history of mineral waters,Dublin,John Rutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The British Library,8vo,380,426,
1758,x,,T106786,Mathematics,a treatise of fluxions,London,Israel Lyons,,,,,,William Bowyer II,Whitefriars: London,,,,,,,,,,,Andrew Millar,Shakespeare's Head,The Strand: London,Benjamin Dod,The Bible & Key,Ave Mary Lane: London,James Fletcher I,In the Turl,Oxford,James Fletcher II,In the Turl,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,National Library of Australia,8vo,266,296,
1758,x,,T139226,Travel/Natural History,the natural history of cornwall,Oxford,William Borlase,,,,,,William Jackson,Oxford,,,,,,,,,,,William Sandyes,The Ship,Fleet Street: London,Henry Clements I,,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,New York Public Library,2mo,390,450,
1758,x,,N47881,Physics/Cosmology,view of sir isaac newton's philosophy 3,Dublin,Henry Pemberton,,,,Richard Glover,,,,,,,,,,,,,,William Williamson,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,University of Newcastle upon Tyne,8vo,122,178,0
1758,x,,T22987,Travel/Natural History,the book of nature or the history of insects,London,Jan Swammerdam,,,,John Hill,,,,,,,,,,,,,,C G Seyffert,Dean Street,Soho: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Utah University,2mo,111,,
1759,x,,9,Map,map of hampshire including the isle of wight,London,Isaac Taylor 1,,,,,,,,,,R Benning,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,587,587,8
1759,x,,T176167,Mathematics,the modern elements of numeral arithmetic,Dublin,James Kennedy,,,,,,,,,,N Hanbury,Dublin,,,,,,,Peter Wilson,,Dublin,Eugene Swiney,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,York University,12mo,278,388,
1760,x,,N18047,Travel/Natural History,gleanings of natural history 1,London,George Edwards,,,,,,College of Physicians,Warwick Lane: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Pennsylvania,4to,211,216,
1760,x,,T111571,Astronomy,the perpetual calculator or time's universal standard,Newcastle upon Tyne,Rowland Wetherald,,,,,,Isaac Thompson,Newcastle upon Tyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Jefferson Library,8vo,153,174,
1760,x,,T133070,Atlas/History/Geography,new and easy guide to the use of globes 2,London,Daniel Fenning,,,,,,,,,,,,,,,,,,Stanley Crowder,The Looking Glass,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,12mo,247,379,5
1760,x,,T113607,Astronomy,astronomia accurata,London,Robert Heath,,,,,,,,,,,,,,,,,,Cole,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,11,13,0
1761,x,,T174451,Chemistry/Medicine,treatise on the three medicinal waters at llandrindod,London,Diederick Wessel Linden,,,,,,John Everingham,Fetter Lane: London,Thomas Reynolds,Fetter Lane: London,,,,,,,,,C Moran,Under the Great Piazza,Covent Garden: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,217,237,21
1761,Not at Bodleian,,N50950,Atlas/History/Geography,new general and universal atlas containing forty five maps,London,John Andrews,Andrew Drury,,,,,Andrew Drury,St Martin's Lane: London,,,John Andrews,The Strand: London,,,,,,,Andrew Drury,Dukes Court,St Martin's Lane: London,Robert Sayer,The Golden Buck,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University: Bodleian,24mo,,,
1762,x,,T106437,Mathematics,a new mathematical dictionary,London,Thomas Walter,,,,,,Jacques Dixwell,Charing Cross: London,,,,,,,,,,,John Williams,Mitre Tavern,Fleet Street: London,Ann Corbett,Addison's Head,Fleet Street: London,Charles Corbett,Addison's Head,Fleet Street: London,William Thurlbourn,,Cambridge,William Woodyer,1/2 Trinity Street,Cambridge,John Merrill,Regent Walk,Cambridge,Barnabas Thorn,Opposite Guildhall,Exeter,Mrs A Woods,,Brecon,Robert Westcote,,Windsor,James Dixwell,148 St Martin's Lane,Charing Cross: London,Thomas Merrill,Regent Walk,Cambridge,John Woodyer,1/2 Trinity Street,Cambridge,,,,,,,,,,,,,,,,,,,,,,R3,Cambridge University,8vo,,,
1762,x,,T50938,Chemistry/Medicine,virtues of cinnabar and musk against the bite of a mad dog,Birmingham,Joseph Dalby,,,,,,John Baskerville,Birmingham,,,,,,,,,,,Z Stuart,,London,Samuel Parker 2,,New Bond Street: London,Daniel Prince,New College Lane,Oxford,James Fletcher I,In the Turl,Oxford,James Fletcher II,In the Turl,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Cambridge University,4to,173,204,17
